"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-01","Jan-2007","PC","Percentage","0","Units",,,4.76,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-02","Feb-2007","PC","Percentage","0","Units",,,4.72,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-03","Mar-2007","PC","Percentage","0","Units",,,4.56,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-04","Apr-2007","PC","Percentage","0","Units",,,4.69,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-05","May-2007","PC","Percentage","0","Units",,,4.75,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-06","Jun-2007","PC","Percentage","0","Units",,,5.1,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-07","Jul-2007","PC","Percentage","0","Units",,,5,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-08","Aug-2007","PC","Percentage","0","Units",,,4.67,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-09","Sep-2007","PC","Percentage","0","Units",,,4.52,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-10","Oct-2007","PC","Percentage","0","Units",,,4.53,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-11","Nov-2007","PC","Percentage","0","Units",,,4.15,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2007-12","Dec-2007","PC","Percentage","0","Units",,,4.1,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-01","Jan-2008","PC","Percentage","0","Units",,,3.74,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-02","Feb-2008","PC","Percentage","0","Units",,,3.74,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-03","Mar-2008","PC","Percentage","0","Units",,,3.51,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-04","Apr-2008","PC","Percentage","0","Units",,,3.68,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-05","May-2008","PC","Percentage","0","Units",,,3.88,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-06","Jun-2008","PC","Percentage","0","Units",,,4.1,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-07","Jul-2008","PC","Percentage","0","Units",,,4.01,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-08","Aug-2008","PC","Percentage","0","Units",,,3.89,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-09","Sep-2008","PC","Percentage","0","Units",,,3.69,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-10","Oct-2008","PC","Percentage","0","Units",,,3.81,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-11","Nov-2008","PC","Percentage","0","Units",,,3.53,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2008-12","Dec-2008","PC","Percentage","0","Units",,,2.42,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-01","Jan-2009","PC","Percentage","0","Units",,,2.52,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-02","Feb-2009","PC","Percentage","0","Units",,,2.87,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-03","Mar-2009","PC","Percentage","0","Units",,,2.82,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-04","Apr-2009","PC","Percentage","0","Units",,,2.93,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-05","May-2009","PC","Percentage","0","Units",,,3.29,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-06","Jun-2009","PC","Percentage","0","Units",,,3.72,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-07","Jul-2009","PC","Percentage","0","Units",,,3.56,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-08","Aug-2009","PC","Percentage","0","Units",,,3.59,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-09","Sep-2009","PC","Percentage","0","Units",,,3.4,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-10","Oct-2009","PC","Percentage","0","Units",,,3.39,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-11","Nov-2009","PC","Percentage","0","Units",,,3.4,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2009-12","Dec-2009","PC","Percentage","0","Units",,,3.59,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-01","Jan-2010","PC","Percentage","0","Units",,,3.73,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-02","Feb-2010","PC","Percentage","0","Units",,,3.69,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-03","Mar-2010","PC","Percentage","0","Units",,,3.73,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-04","Apr-2010","PC","Percentage","0","Units",,,3.85,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-05","May-2010","PC","Percentage","0","Units",,,3.42,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-06","Jun-2010","PC","Percentage","0","Units",,,3.2,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-07","Jul-2010","PC","Percentage","0","Units",,,3.01,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-08","Aug-2010","PC","Percentage","0","Units",,,2.7,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-09","Sep-2010","PC","Percentage","0","Units",,,2.65,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-10","Oct-2010","PC","Percentage","0","Units",,,2.54,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-11","Nov-2010","PC","Percentage","0","Units",,,2.76,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2010-12","Dec-2010","PC","Percentage","0","Units",,,3.29,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-01","Jan-2011","PC","Percentage","0","Units",,,3.39,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-02","Feb-2011","PC","Percentage","0","Units",,,3.58,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-03","Mar-2011","PC","Percentage","0","Units",,,3.41,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-04","Apr-2011","PC","Percentage","0","Units",,,3.46,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-05","May-2011","PC","Percentage","0","Units",,,3.17,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-06","Jun-2011","PC","Percentage","0","Units",,,3,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-07","Jul-2011","PC","Percentage","0","Units",,,3,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-08","Aug-2011","PC","Percentage","0","Units",,,2.3,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-09","Sep-2011","PC","Percentage","0","Units",,,1.98,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-10","Oct-2011","PC","Percentage","0","Units",,,2.15,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-11","Nov-2011","PC","Percentage","0","Units",,,2.01,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2011-12","Dec-2011","PC","Percentage","0","Units",,,1.98,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-01","Jan-2012","PC","Percentage","0","Units",,,1.97,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-02","Feb-2012","PC","Percentage","0","Units",,,1.97,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-03","Mar-2012","PC","Percentage","0","Units",,,2.17,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-04","Apr-2012","PC","Percentage","0","Units",,,2.05,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-05","May-2012","PC","Percentage","0","Units",,,1.8,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-06","Jun-2012","PC","Percentage","0","Units",,,1.62,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-07","Jul-2012","PC","Percentage","0","Units",,,1.53,,
"IRLT","Long-term interest rates, Per cent per annum","USA","United States","M","Monthly","2012-08","Aug-2012","PC","Percentage","0","Units",,,1.68,,
